Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nm,031611i,A,"Wednesday, March 16, 2011 17:11:53 UTC",35.2201,-92.3813,1.9,5.10, 7,"Arkansas"
pr,11075003,0,"Wednesday, March 16, 2011 17:03:38 UTC",17.7726,-66.0535,2.1,8.30, 4,"Puerto Rico region"
ci,10909549,6,"Wednesday, March 16, 2011 16:59:58 UTC",32.9540,-116.3368,1.9,12.20,58,"Southern California"
hv,60223786,1,"Wednesday, March 16, 2011 16:39:11 UTC",19.8753,-155.5707,2.5,20.70,17,"Island of Hawaii, Hawaii"
us,2011inch,6,"Wednesday, March 16, 2011 16:07:23 UTC",38.5078,20.4128,4.6,10.00,76,"Greece"
ci,10909541,2,"Wednesday, March 16, 2011 15:56:31 UTC",35.1527,-118.3933,1.5,0.00, 9,"Central California"
ci,10909533,4,"Wednesday, March 16, 2011 15:53:45 UTC",34.1592,-118.5957,2.5,10.70,65,"Greater Los Angeles area, California"
nc,71543856,2,"Wednesday, March 16, 2011 15:51:11 UTC",38.7875,-122.7300,1.0,2.50,44,"Northern California"
nc,71543851,4,"Wednesday, March 16, 2011 15:46:41 UTC",37.2537,-121.6365,1.2,5.70,20,"Northern California"
us,2011incf,5,"Wednesday, March 16, 2011 15:42:54 UTC",36.4038,143.0695,4.7,10.20,18,"off the east coast of Honshu, Japan"
mb,26638,1,"Wednesday, March 16, 2011 15:42:11 UTC",44.6106,-112.0795,1.1,4.80,18,"western Montana"
us,2011ince,6,"Wednesday, March 16, 2011 15:27:02 UTC",36.3227,142.3704,4.8,35.00,17,"off the east coast of Honshu, Japan"
ak,10192644,1,"Wednesday, March 16, 2011 15:21:04 UTC",62.1311,-151.8250,2.0,98.40,10,"Central Alaska"
ci,10909525,4,"Wednesday, March 16, 2011 15:11:33 UTC",33.3777,-116.3918,1.6,10.10,54,"Southern California"
nm,031611h,A,"Wednesday, March 16, 2011 15:02:10 UTC",35.2080,-92.3862,2.2,5.90, 8,"Arkansas"
us,2011incd,6,"Wednesday, March 16, 2011 15:00:56 UTC",39.0565,144.4993,4.8,17.40,39,"off the east coast of Honshu, Japan"
ak,10192626,2,"Wednesday, March 16, 2011 14:56:37 UTC",61.5543,-149.8051,3.3,20.40,60,"Southern Alaska"
uw,03161456,1,"Wednesday, March 16, 2011 14:56:37 UTC",46.2651,-122.0516,1.5,12.00,30,"Washington"
ci,10909517,4,"Wednesday, March 16, 2011 14:54:01 UTC",35.3507,-118.5763,1.0,6.10, 7,"Central California"
ci,10909509,5,"Wednesday, March 16, 2011 14:49:24 UTC",33.1613,-115.6723,1.5,0.00,33,"Southern California"
us,c000249s,A,"Wednesday, March 16, 2011 14:46:08 UTC",38.5290,141.6557,5.2,39.90,268,"near the east coast of Honshu, Japan"
mb,26637,1,"Wednesday, March 16, 2011 14:45:10 UTC",44.6300,-112.0816,1.0,11.20,13,"western Montana"
